temperature,humidity,time
19.89,51.66,2886
19.89,51.66,2887
19.89,51.66,2914
19.89,51.65,2913
19.89,51.57,2887
19.90,51.65,2914
19.90,51.65,2893
19.90,51.57,2893
19.91,51.63,2864
19.91,51.62,2864
19.91,51.62,2887
19.91,51.64,2913
19.92,51.54,2888
19.92,51.56,2913
19.92,51.57,2913
19.92,51.62,2889
19.92,51.64,2914
19.92,51.62,2887
19.92,51.65,2886
19.92,51.66,2893
19.92,51.59,2894
19.92,51.62,2886
19.92,51.63,2893
19.92,51.63,2887
19.92,51.63,2886
19.92,51.69,2913
19.92,51.66,2913
19.92,51.70,2913
19.94,51.53,2887
19.94,51.54,2914
19.94,51.63,2913
19.94,51.59,2913
19.94,51.62,2887
19.94,51.69,2889
19.94,51.67,2912
19.94,51.67,2886
19.94,51.69,2886
19.94,51.67,2913
19.95,51.56,2887
19.95,51.56,2912
19.95,51.55,2887
19.95,51.69,2887
19.96,51.65,2887
19.96,51.69,2913
19.96,51.59,2887
19.96,51.62,2887
19.96,51.66,2919
19.96,51.70,2887
19.96,51.73,2919
19.97,51.62,2887
19.97,51.61,2887
19.97,51.62,2893
19.97,51.66,2887
19.97,51.60,2887
19.97,51.64,2887
19.97,51.66,2887
19.97,51.68,2887
19.97,51.69,2886
19.97,51.69,2887
19.97,51.71,2914
19.97,51.72,2887
19.98,51.64,2887
19.98,51.63,2887
19.98,51.67,2913
19.98,51.69,2890
19.98,51.74,2914
19.98,51.71,2887
19.98,51.72,2893
19.98,51.69,2887
19.98,51.72,2889
19.98,51.72,2916
19.98,51.69,2914
19.98,51.73,2887
19.98,51.73,2913
19.98,51.74,2889
19.98,51.73,2913
19.98,51.75,2913
19.98,51.73,2887
19.98,51.73,2912
19.99,51.61,2894
19.99,51.71,2886
20.00,51.69,2889
20.00,51.74,2889
20.01,51.72,2913
20.01,51.72,2912
20.01,51.71,2913
20.01,51.70,2913
20.01,51.69,2865
20.01,51.72,2920
20.01,51.78,2892
20.01,51.77,2912
20.01,51.76,2886
20.01,51.73,2913
20.02,51.74,2913
20.02,51.75,2886
20.02,51.77,2889
20.02,51.77,2886
20.02,51.77,2886
20.02,51.76,2886
20.02,51.78,2887
20.02,51.75,2918
20.02,51.76,2887
20.02,51.76,2889
20.02,51.75,2886
20.03,51.76,2895
20.03,51.74,2886
20.04,51.75,2886
20.04,51.71,2886
20.05,51.72,2886
20.05,51.75,2886
20.05,51.66,2887
20.05,51.69,2886
20.06,51.72,2889
20.06,51.67,2892
20.06,51.67,2887
20.06,51.66,2886
20.07,51.64,2913
20.07,51.70,2913
20.07,51.69,2887
20.07,51.68,2887
20.07,51.67,2893
20.07,51.63,2886
20.09,51.62,2886
20.09,51.63,2893
20.09,51.61,2913
20.09,51.64,2887
20.09,51.69,2913
20.09,51.69,2886
20.09,51.67,2892
20.09,51.66,2912
20.09,51.68,2919
20.09,51.70,2889
20.10,51.62,2913
20.10,51.71,2887
20.10,51.73,2887
20.11,51.66,2886
20.11,51.68,2887
20.11,51.65,2886
20.11,51.66,2913
20.11,51.69,2887
20.12,51.67,2886
20.12,51.67,2913
20.12,51.68,2890
20.12,51.68,2913
20.12,51.69,2913
20.12,51.69,2914
20.12,51.66,2887
20.12,51.66,2886
20.12,51.67,2892
20.12,51.63,2893
20.12,51.66,2887
20.12,51.72,2913
20.12,51.80,2866
20.12,51.77,2887
20.12,51.75,2892
20.12,51.78,2887
20.13,51.69,2887
20.13,51.66,2887
20.13,51.66,2887
20.13,51.69,2886
20.13,51.75,2914
20.13,51.79,2913
20.13,51.79,2889
20.13,51.79,2913
20.13,51.77,2913
20.13,51.78,2893
20.13,51.77,2887
20.13,51.82,2912
20.14,51.59,2887
20.14,51.79,2913
20.14,51.77,2887
20.14,51.75,2893
20.14,51.76,2887
20.14,51.75,2889
20.14,51.78,2888
20.14,51.81,2912
20.14,51.88,2889
20.14,51.88,2912
20.14,51.88,2886
20.14,51.89,2887
20.14,51.88,2887
20.14,51.84,2893
20.15,51.78,2887
20.15,51.75,2912
20.15,51.79,2912
20.15,51.76,2913
20.15,51.84,2886
20.16,51.76,2912
20.16,51.86,2887
20.16,51.82,2913
20.16,51.83,2895
20.17,51.80,2887
20.17,51.83,2889
20.17,51.82,2886
20.17,51.76,2886
20.17,51.78,2886
20.17,51.80,2913
20.17,51.79,2915
20.17,51.79,2886
20.17,51.79,2885
20.17,51.84,2913
20.17,51.84,2887
20.17,51.85,2887
20.17,51.84,2887
20.17,51.88,2887
20.17,51.89,2887
20.18,51.82,2893
20.18,51.77,2886
20.18,51.79,2886
20.18,51.75,2889
20.18,51.79,2887
20.18,51.84,2893
20.18,51.82,2887
20.18,51.87,2913
20.18,51.88,2892
20.18,51.87,2886
20.18,51.81,2886
20.18,51.91,2889
20.18,51.90,2887
20.19,51.83,2892
20.19,51.84,2886
20.19,51.79,2886
20.19,51.76,2886
20.19,51.85,2886
20.19,51.84,2892
20.19,51.82,2913
